Temps (s),Depl (mm),Force (kN),Jauge 0,Jauge 1,Jauge 2,Jauge 3
610.933228,9.177,2.901166,0.000952,0.000324,-0.002056,-0.000572
613.433026,9.178,2.931172,0.000957,0.000337,-0.002053,-0.000561
614.683594,9.179,2.890996,0.00096,0.000341,-0.002045,-0.000556
617.197817,9.18,3.247784,0.000961,0.000347,-0.002045,-0.000551
618.464924,9.181,2.927549,0.000961,0.000346,-0.002045,-0.000551
620.995529,9.182,2.92966,0.000964,0.000346,-0.002053,-0.000552
623.495686,9.183,3.01856,0.000972,0.000353,-0.002054,-0.000546
624.745725,9.183,3.070605,0.000965,0.000347,-0.002046,-0.000553
627.277147,9.183,3.037967,0.00096,0.000344,-0.002056,-0.000558
628.541694,9.184,2.53601,0.000963,0.000345,-0.002051,-0.000558
631.073512,9.184,2.941104,0.000964,0.000345,-0.002046,-0.000556
633.573158,9.184,3.348823,0.000969,0.000347,-0.002044,-0.00055
634.824999,9.184,2.863695,0.000973,0.000352,-0.002048,-0.000547
637.339511,9.184,2.966818,0.000976,0.000358,-0.00205,-0.000541
638.604796,9.184,3.238559,0.000974,0.000356,-0.002049,-0.000542
641.120523,9.184,2.855949,0.000965,0.000348,-0.002041,-0.000551
643.620595,9.184,2.944106,0.000963,0.000345,-0.002051,-0.000554
644.885086,9.184,3.548688,0.000957,0.000344,-0.00205,-0.000556
647.401214,9.184,3.012984,0.00095,0.000339,-0.002048,-0.000559
648.651752,9.184,3.033182,0.000947,0.000336,-0.002046,-0.000562
651.150861,9.184,2.809263,0.00095,0.000342,-0.002044,-0.000557
653.667058,9.184,2.796955,0.000952,0.000343,-0.002047,-0.000556
654.93303,9.184,3.102808,0.000954,0.000344,-0.002041,-0.000555
657.449179,9.184,3.708509,0.000959,0.000346,-0.002042,-0.000556
658.716007,9.184,2.924965,0.000962,0.000348,-0.002045,-0.000557
661.231733,9.184,2.846633,0.000961,0.000345,-0.002044,-0.000554
662.479093,9.184,3.125764,0.000961,0.000346,-0.002041,-0.000554
664.996007,9.184,3.012767,0.000971,0.000351,-0.002036,-0.000547
667.510877,9.184,2.117967,0.000975,0.000352,-0.002038,-0.000546
668.762063,9.184,3.046715,0.000976,0.000356,-0.002039,-0.000544
671.277548,9.184,2.826717,0.000976,0.000356,-0.002037,-0.000542
672.527323,9.184,2.910185,0.000973,0.000355,-0.002041,-0.000544
675.058199,9.184,2.864607,0.000962,0.000355,-0.002033,-0.000542
677.573628,9.184,2.944213,0.000954,0.00035,-0.002032,-0.000545
678.823407,9.184,3.056493,0.000957,0.00035,-0.002036,-0.000544
681.321056,9.184,2.944648,0.000961,0.000353,-0.002037,-0.000543
682.572904,9.184,2.924366,0.000957,0.00035,-0.002033,-0.000545
685.073621,9.184,2.996586,0.000958,0.000353,-0.002028,-0.000545
687.573462,9.184,2.860145,0.000964,0.000356,-0.002027,-0.000539
688.838922,9.184,2.896184,0.000964,0.000356,-0.002025,-0.000538
691.339595,9.184,3.175537,0.000969,0.00036,-0.002026,-0.000534
692.605773,9.184,2.920074,0.00097,0.00036,-0.00203,-0.000534
695.120229,9.184,3.047103,0.000971,0.000365,-0.002022,-0.000532
697.620033,9.184,3.079783,0.000979,0.000369,-0.002024,-0.000528
698.869161,9.184,3.075014,0.000977,0.000369,-0.00203,-0.000528
701.368187,9.184,3.039654,0.000979,0.000367,-0.002028,-0.00053
702.60521,9.184,3.131387,0.000983,0.000369,-0.002029,-0.000529
705.117723,9.184,3.068366,0.000988,0.000374,-0.002029,-0.000526
707.62047,9.184,3.042137,0.000981,0.000366,-0.002024,-0.000529
708.865745,9.184,2.885924,0.00098,0.000366,-0.002028,-0.000532
711.355758,9.184,3.170837,0.000984,0.000369,-0.002028,-0.000532
712.605118,9.184,3.004623,0.000985,0.000365,-0.002027,-0.000533
715.104868,9.184,2.569052,0.000987,0.00037,-0.002028,-0.000528
717.620764,9.184,3.229938,0.000982,0.000371,-0.002021,-0.000532
718.87045,9.184,2.790556,0.000985,0.00037,-0.002024,-0.000533
721.385521,9.184,3.011303,0.000982,0.000368,-0.002025,-0.000533
722.636648,9.184,2.99856,0.00098,0.000369,-0.002019,-0.000535
725.167004,9.184,2.918196,0.000977,0.00037,-0.002031,-0.000535
727.666995,9.184,1.537689,0.000977,0.000368,-0.002032,-0.000536
728.918153,9.184,2.995742,0.000978,0.000369,-0.002025,-0.000535
731.432403,9.184,3.038768,0.000974,0.000372,-0.002029,-0.000536
732.683616,9.184,2.873233,0.000974,0.000369,-0.002032,-0.000534
735.213251,9.184,3.010523,0.000968,0.000364,-0.002026,-0.000539
737.714029,9.184,2.937342,0.000968,0.000364,-0.002022,-0.000535
738.96499,9.184,2.998098,0.000972,0.000366,-0.002029,-0.000535
741.49325,9.184,3.011473,0.000974,0.000368,-0.002024,-0.000532
742.746792,9.184,2.982782,0.00098,0.000373,-0.002023,-0.000528
745.259931,9.184,2.951767,0.000986,0.000376,-0.002022,-0.000524
746.512082,9.184,3.038519,0.000987,0.000377,-0.002025,-0.000522
749.02698,9.184,2.998156,0.000991,0.000378,-0.002029,-0.000522
751.528102,9.184,3.010433,0.000993,0.000381,-0.002024,-0.000523
752.776747,9.184,3.008061,0.000981,0.000377,-0.002019,-0.000523
755.29353,9.184,3.17411,0.000974,0.000369,-0.002014,-0.000527
